dv,subj_num,between,within,gender,ID
0.4743442,1,young,repeat,1,S004
0.45760585,2,young,repeat,1,S007
0.5386438,3,young,repeat,1,S008
0.49993155,4,young,repeat,0,S012
0.549756,5,young,repeat,1,S014
0.5575444,6,young,repeat,1,S015
0.4575799,7,young,repeat,1,S016
0.5681788,8,young,repeat,1,S017
0.51608955,9,young,repeat,1,S018
0.4616282,10,young,repeat,1,S019
0.5371251,11,young,repeat,0,S020
0.4452424,12,young,repeat,0,S023
0.5822976,13,young,repeat,0,S025
0.68234035,14,young,repeat,1,S026
0.4243335,15,young,repeat,1,S029
0.4576717,16,young,repeat,0,S033
0.5076054,17,young,repeat,1,S035
0.65339615,18,young,repeat,1,S036
0.5157926,19,young,repeat,1,S038
0.4158071,20,young,repeat,1,S040
0.7366917,21, old ,repeat,1,S005
0.9323909,22, old ,repeat,1,S006
0.74195765,23, old ,repeat,1,S011
0.71597095,24, old ,repeat,1,S013
0.6408292,25, old ,repeat,1,S021
0.899204,26, old ,repeat,1,S022
0.9169283,27, old ,repeat,0,S024
0.6908288,28, old ,repeat,1,S027
0.7576358,29, old ,repeat,1,S028
0.6474484,30, old ,repeat,1,S030
0.84489675,31, old ,repeat,1,S031
0.49674795,32, old ,repeat,0,S032
0.7157185,33, old ,repeat,0,S034
0.724173,34, old ,repeat,1,S037
0.5921273,35, old ,repeat,1,S039
0.8247378,36, old ,repeat,0,S041
0.7158405,37, old ,repeat,0,S042
0.9580843,38, old ,repeat,0,S043
0.8366739,39, old ,repeat,1,S044
0.5323373,1,young,  ID  ,1,S004
0.5493959,2,young,  ID  ,1,S007
0.5784626,3,young,  ID  ,1,S008
0.5534494,4,young,  ID  ,0,S012
0.6242033,5,young,  ID  ,1,S014
0.61610215,6,young,  ID  ,1,S015
0.51583715,7,young,  ID  ,1,S016
0.61593525,8,young,  ID  ,1,S017
0.5669599,9,young,  ID  ,1,S018
0.5076119,10,young,  ID  ,1,S019
0.62021505,11,young,  ID  ,0,S020
0.4834827,12,young,  ID  ,0,S023
0.66358635,13,young,  ID  ,0,S025
0.6741316,14,young,  ID  ,1,S026
0.49497555,15,young,  ID  ,1,S029
0.53244585,16,young,  ID  ,0,S033
0.5743816,17,young,  ID  ,1,S035
0.7078015,18,young,  ID  ,1,S036
0.5764296,19,young,  ID  ,1,S038
0.4907707,20,young,  ID  ,1,S040
0.8658102,21, old ,  ID  ,1,S005
0.99507995,22, old ,  ID  ,1,S006
0.7992964,23, old ,  ID  ,1,S011
0.78264865,24, old ,  ID  ,1,S013
0.6996357,25, old ,  ID  ,1,S021
0.91480005,26, old ,  ID  ,1,S022
1.0741677,27, old ,  ID  ,0,S024
0.696448,28, old ,  ID  ,1,S027
0.8825108,29, old ,  ID  ,1,S028
0.6571523,30, old ,  ID  ,1,S030
0.95765405,31, old ,  ID  ,1,S031
0.5575717,32, old ,  ID  ,0,S032
0.7992915,33, old ,  ID  ,0,S034
0.8074349,34, old ,  ID  ,1,S037
0.590878,35, old ,  ID  ,1,S039
0.9156432,36, old ,  ID  ,0,S041
0.8240864,37, old ,  ID  ,0,S042
0.99500555,38, old ,  ID  ,0,S043
0.89490245,39, old ,  ID  ,1,S044
0.64096355,1,young,  ED  ,1,S004
0.63265305,2,young,  ED  ,1,S007
0.7241298,3,young,  ED  ,1,S008
0.6949537,4,young,  ED  ,0,S012
0.6914446,5,young,  ED  ,1,S014
0.7908294,6,young,  ED  ,1,S015
0.5993757,7,young,  ED  ,1,S016
0.81245895,8,young,  ED  ,1,S017
0.7119043,9,young,  ED  ,1,S018
0.55756615,10,young,  ED  ,1,S019
0.7074479,11,young,  ED  ,0,S020
0.54144,12,young,  ED  ,0,S023
0.7205359,13,young,  ED  ,0,S025
0.7575063,14,young,  ED  ,1,S026
0.6450925,15,young,  ED  ,1,S029
0.5493357,16,young,  ED  ,0,S033
0.65336605,17,young,  ED  ,1,S035
0.74917215,18,young,  ED  ,1,S036
0.6324091,19,young,  ED  ,1,S038
0.5926439,20,young,  ED  ,1,S040
0.92424255,21, old ,  ED  ,1,S005
1.1409079,22, old ,  ED  ,1,S006
1.283162,23, old ,  ED  ,1,S011
0.8910675,24, old ,  ED  ,1,S013
0.84910345,25, old ,  ED  ,1,S021
1.2659353,26, old ,  ED  ,1,S022
1.0743046,27, old ,  ED  ,0,S024
0.9325212,28, old ,  ED  ,1,S027
1.0574851,29, old ,  ED  ,1,S028
0.8077537,30, old ,  ED  ,1,S030
0.95748775,31, old ,  ED  ,1,S031
0.55581475,32, old ,  ED  ,0,S032
1.357806,33, old ,  ED  ,0,S034
0.75802895,34, old ,  ED  ,1,S037
0.67005975,35, old ,  ED  ,1,S039
1.02076295,36, old ,  ED  ,0,S041
0.9658327,37, old ,  ED  ,0,S042
1.1159735,38, old ,  ED  ,0,S043
1.1283786,39, old ,  ED  ,1,S044
